facility_id,ReportDate,AppointmentType,VA Facility Location,state,NewPatients
541BY,2026-01-21,MENTAL HEALTH INDIVIDUAL,"CANTON, OH",OH,33.0
541BZ,2026-01-21,MENTAL HEALTH INDIVIDUAL,"CARL NUNZIATO VA CLINIC, OH",OH,5.3
541GB,2026-01-21,MENTAL HEALTH INDIVIDUAL,"LORAIN VA CLINIC, OH",OH,29.0
541GC,2026-01-21,MENTAL HEALTH INDIVIDUAL,"SANDUSKY VA CLINIC, OH",OH,39.5
541GD,2026-01-21,MENTAL HEALTH INDIVIDUAL,"DAVID F. WINDER VA CBOC, OH",OH,33.0
541GH,2026-01-21,MENTAL HEALTH INDIVIDUAL,"EAST LIVERPOOL VA CLINIC, OH",OH,20.0
541GI,2026-01-21,MENTAL HEALTH INDIVIDUAL,"WARREN VA CLINIC, OH",OH,25.7
541GJ,2026-01-21,MENTAL HEALTH INDIVIDUAL,"NEW PHILADELPHIA VA CLINIC, OH",OH,18.3
541GK,2026-01-21,MENTAL HEALTH INDIVIDUAL,"RAVENNA VA CLINIC, OH",OH,14.0
541GL,2026-01-21,MENTAL HEALTH INDIVIDUAL,"PARMA VA CLINIC, OH",OH,22.8
541QI,2026-01-21,MENTAL HEALTH INDIVIDUAL,"AKRON WEST VA CLINIC, OH",OH,5.0
542,2026-01-21,MENTAL HEALTH INDIVIDUAL,"COATESVILLE VA MEDICAL CENTER, PA",PA,32.9
542GA,2026-01-21,MENTAL HEALTH INDIVIDUAL,"DELAWARE COUNTY VA CLINIC, PA",PA,31.2
542GE,2026-01-21,MENTAL HEALTH INDIVIDUAL,"WEST NORRITON VA CLINIC, PA",PA,36.6
544,2026-01-21,MENTAL HEALTH INDIVIDUAL,"WM. JENNINGS BRYAN DORN VAMC, SC",SC,37.3
544BZ,2026-01-21,MENTAL HEALTH INDIVIDUAL,"LCPL DANA DARNELL VA CLINIC, SC",SC,46.7
544GB,2026-01-21,MENTAL HEALTH INDIVIDUAL,"FLORENCE VA CLINIC, SC",SC,59.3
544GC,2026-01-21,MENTAL HEALTH INDIVIDUAL,"ROCK HILL VA CLINIC, SC",SC,29.3
544GD,2026-01-21,MENTAL HEALTH INDIVIDUAL,"ANDERSON VA CLINIC, SC",SC,39.3
544GF,2026-01-21,MENTAL HEALTH INDIVIDUAL,"SUMTER VA CLINIC, SC",SC,16.0
544GG,2026-01-21,MENTAL HEALTH INDIVIDUAL,"SPARTANBURG VA CLINIC, SC",SC,31.0
546,2026-01-21,MENTAL HEALTH INDIVIDUAL,"BRUCE W. CARTER DEPT OF VAMC, FL",FL,21.7
546BZ,2026-01-21,MENTAL HEALTH INDIVIDUAL,"WILLIAM ""BILL"" KLING VAOC, FL",FL,27.9
546GB,2026-01-21,MENTAL HEALTH INDIVIDUAL,"KEY WEST, FL",FL,23.5
546GC,2026-01-21,MENTAL HEALTH INDIVIDUAL,"HOMESTEAD VA CLINIC, FL",FL,38.4
546GD,2026-01-21,MENTAL HEALTH INDIVIDUAL,"PEMBROKE PINES VA CLINIC, FL",FL,47.3
546GF,2026-01-21,MENTAL HEALTH INDIVIDUAL,"HOLLYWOOD VA CLINIC, FL",FL,20.3
546GH,2026-01-21,MENTAL HEALTH INDIVIDUAL,"DEERFIELD BEACH VA CLINIC, FL",FL,23.5
548,2026-01-21,MENTAL HEALTH INDIVIDUAL,"WEST PALM BEACH VAMC, FL",FL,10.8
548GA,2026-01-21,MENTAL HEALTH INDIVIDUAL,"FORT PIERCE VA CLINIC, FL",FL,30.2
548GB,2026-01-21,MENTAL HEALTH INDIVIDUAL,"DELRAY BEACH VA CLINIC, FL",FL,48.6
548GC,2026-01-21,MENTAL HEALTH INDIVIDUAL,"STUART VA CLINIC, FL",FL,21.5
548GD,2026-01-21,MENTAL HEALTH INDIVIDUAL,"BOCA RATON, FL",FL,34.4
548GE,2026-01-21,MENTAL HEALTH INDIVIDUAL,"VERO BEACH VA CLINIC, FL",FL,14.4
548GF,2026-01-21,MENTAL HEALTH INDIVIDUAL,"OKEECHOBEE VA CLINIC, FL",FL,20.5
549,2026-01-21,MENTAL HEALTH INDIVIDUAL,"DALLAS VA MEDICAL CENTER, TX",TX,32.2
549A4,2026-01-21,MENTAL HEALTH INDIVIDUAL,"SAM RAYBURN MEMORIAL VET CNTR, TX",TX,5.6
549A5,2026-01-21,MENTAL HEALTH INDIVIDUAL,"GARLAND VA MEDICAL CENTER, TX",TX,8.5
549BY,2026-01-21,MENTAL HEALTH INDIVIDUAL,"FORT WORTH VA CLINIC, TX",TX,24.0
